Date,CHNLORSGPNOSTSAM,CHNPRINTO01IXPYM,GDPC1,INDPRO,RGDPNACNA666NRUG,PRENEL01CNQ656N
1/06/1989,100.4069334,#N/A,9238.923,63.5187,2556619,#N/A
1/06/1990,96.06646704,#N/A,9398.499,64.6041,2559836,#N/A
1/06/1991,97.93573886,#N/A,9388.845,63.4372,2682309.25,#N/A
1/06/1992,98.70565059,#N/A,9732.979,65.0295,2902863.5,#N/A
1/06/1993,100.8740343,#N/A,9955.641,66.8781,3223269,#N/A
1/06/1994,101.7315975,#N/A,10387.382,70.6763,3506833.25,#N/A
1/06/1995,101.3437097,#N/A,10665.06,73.8602,3844350.5,#N/A
1/06/1996,101.2291771,#N/A,11096.976,77.6669,4147617.25,#N/A
1/06/1997,101.0093505,#N/A,11615.636,82.2285,4335791.5,#N/A
1/06/1998,100.1222295,#N/A,12091.614,87.145,4433426,#N/A
1/06/1999,99.35663389,109.1,12662.385,91.1994,4693985,104910
1/06/2000,99.6541121,112.2,13178.419,95.7353,5042128.5,114893.3333
1/06/2001,98.58526306,110.1,13244.784,92.3208,5437056,125600
1/06/2002,98.31903854,112.4,13538.072,93.4476,5946315,144686
1/06/2003,99.50322856,116.9,13985.073,93.2476,6418747,166133.3333
1/06/2004,100.2143903,116.2,14464.984,95.6019,7055111.5,187643.3333
1/06/2005,99.85126851,116.8,14972.054,99.9853,7864689.5,213143.3333
1/06/2006,100.238881,119.5,15326.368,101.9693,8820217,248413.3333
1/06/2007,101.3618853,119.4,15666.738,104.5617,9806798,288853.3333
1/06/2008,100.5878959,116,15667.032,102.8445,10547355,308283.3333
1/06/2009,98.57827741,110.7,15189.222,87.0742,11496067,333050.3333
1/06/2010,99.94125079,113.7,15671.967,94.4397,12990000,372206.6667
1/06/2011,100.9535467,115.1,15820.7,96.6154,14028191,412416.6667
1/06/2012,100.4367241,109.5,16220.667,100.0728,14811841,421043.3333
1/06/2013,100.4132803,108.9,16531.685,101.9549,15855715,469729.3333
1/06/2014,100.4827301,109.2,17047.098,105.4081,16859516,484967.3333
1/06/2015,99.84899919,106.8,17463.222,103.7174,17506840,493090.6633
1/06/2016,99.46225132,106.2,17735.074,101.8747,18191996,534536.6667
1/06/2017,99.76066491,107.6,18163.558,104.5849,18978502,573750
1/06/2018,100.0328589,106,18732.72,108.1707,#N/A,#N/A
1/06/2019,100.1135827,106.3,19121.112,109.2774,#N/A,#N/A
,,,,,,
,,,,,,
