Description,Levels,Percent change
Financial and insurance services (K) ;  Industry gross value added,A2715104W,A2714999C
Arts and recreation services (R) ;  Industry gross value added,A2715111V,A2715006T
Retail trade (G) ;  Industry gross value added,A2715100L,A2714995V
Accommodation and food services (H) ;  Industry gross value added,A2715101R,A2714996W
"Transport, postal and warehousing (I) ;  Industry gross value added",A2715102T,A2714997X
Public administration and safety (O) ;  Industry gross value added,A2715108F,A2715003K
Construction (E) ;  Industry gross value added,A2715098L,A2714993R
Wholesale trade (F) ;  Industry gross value added,A2715099R,A2714994T
Retail trade (G) ;  Industry gross value added,A2715100L,A2714995V
"Professional, scientific and technical services (M) ;  Industry gross value added",A2715106A,A2715001F
Administrative and support services (N) ;  Industry gross value added,A2715107C,A2715002J
Manufacturing (C) ;  Industry gross value added,A2715096J,A2714991K
